val_loss,epoch,step,train_loss
0.4703644812107086,0,137,
,0,137,0.5346349477767944
0.4172701835632324,1,275,
,1,275,0.29789113998413086
0.35536232590675354,2,413,
,2,413,0.24141933023929596
0.3627120554447174,3,551,
,3,551,0.21602493524551392
0.31523460149765015,4,689,
,4,689,0.19044308364391327
0.34406551718711853,5,827,
,5,827,0.20239897072315216
0.3183405101299286,6,965,
,6,965,0.19495850801467896
0.3134613037109375,7,1103,
,7,1103,0.18185678124427795
0.32561880350112915,8,1241,
,8,1241,0.19393615424633026
0.3077200949192047,9,1379,
,9,1379,0.19957582652568817
0.3226109445095062,10,1517,
,10,1517,0.17687705159187317
0.31499481201171875,11,1655,
,11,1655,0.17634066939353943
0.29326504468917847,12,1793,
,12,1793,0.1668168157339096
0.30126953125,13,1931,
,13,1931,0.1707821488380432
0.2984411418437958,14,2069,
,14,2069,0.16047771275043488
0.29160362482070923,15,2207,
,15,2207,0.16406603157520294
0.268767774105072,16,2345,
,16,2345,0.15631955862045288
0.27670902013778687,17,2483,
,17,2483,0.1647442728281021
0.27168241143226624,18,2621,
,18,2621,0.1572197824716568
0.28355881571769714,19,2759,
,19,2759,0.15419705212116241
0.2896101176738739,20,2897,
,20,2897,0.15801747143268585
0.2878780961036682,21,3035,
,21,3035,0.1504511684179306
0.27644577622413635,22,3173,
,22,3173,0.14574302732944489
0.25915196537971497,23,3311,
,23,3311,0.1462240070104599
0.2692783772945404,24,3449,
,24,3449,0.14727181196212769
0.2666076421737671,25,3587,
,25,3587,0.14077912271022797
0.24230170249938965,26,3725,
,26,3725,0.142939031124115
0.26283153891563416,27,3863,
,27,3863,0.13737589120864868
0.25147545337677,28,4001,
,28,4001,0.13631092011928558
0.27663084864616394,29,4139,
,29,4139,0.1366344541311264
0.25583186745643616,30,4277,
,30,4277,0.13752734661102295
0.27363553643226624,31,4415,
,31,4415,0.14147259294986725
0.24860011041164398,32,4553,
,32,4553,0.13623519241809845
