val_loss,epoch,step,train_loss
731.0265502929688,0,917,
,0,917,6.887077808380127
785.0343017578125,1,1835,
,1,1835,1.911043405532837
417.7619323730469,2,2753,
,2,2753,1.8771287202835083
2013.672119140625,3,3671,
,3,3671,1.8037055730819702
3756.96240234375,4,4589,
,4,4589,1.7454906702041626
1199.562255859375,5,5507,
,5,5507,1.6886974573135376
948.4799194335938,6,6425,
,6,6425,1.7400330305099487
192.7039794921875,7,7343,
,7,7343,1.6515841484069824
550.4620361328125,8,8261,
,8,8261,1.700708031654358
1446.101318359375,9,9179,
,9,9179,1.6212776899337769
368.9586486816406,10,10097,
,10,10097,1.6326994895935059
185.2384490966797,11,11015,
,11,11015,1.594836950302124
nan,12,11933,
,12,11933,1.5740348100662231
