val_loss,epoch,step,train_loss
2.7946650981903076,0,458,
,0,458,2.5904080867767334
2.520064115524292,1,917,
,1,917,1.980075716972351
2.4834330081939697,2,1376,
,2,1376,1.9248683452606201
2.5402114391326904,3,1835,
,3,1835,1.9016927480697632
2.5163493156433105,4,2294,
,4,2294,1.917676568031311
2.480684518814087,5,2753,
,5,2753,1.888622760772705
2.561821460723877,6,3212,
,6,3212,1.8726338148117065
2.4934818744659424,7,3671,
,7,3671,1.8960847854614258
2.5149085521698,8,4130,
,8,4130,1.8974744081497192
2.525216579437256,9,4589,
,9,4589,1.8520293235778809
2.5357327461242676,10,5048,
,10,5048,1.8792916536331177
