val_loss,epoch,step,train_loss
2.7389891147613525,0,305,
,0,305,2.5742337703704834
2.533151388168335,1,611,
,1,611,1.9372328519821167
2.5489115715026855,2,917,
,2,917,1.90877103805542
2.51784348487854,3,1223,
,3,1223,1.9081119298934937
2.50447416305542,4,1529,
,4,1529,1.9210941791534424
2.474867105484009,5,1835,
,5,1835,1.8860305547714233
2.49037766456604,6,2141,
,6,2141,1.8165831565856934
2.506190061569214,7,2447,
,7,2447,1.8553175926208496
2.4926393032073975,8,2753,
,8,2753,1.8684031963348389
2.4895100593566895,9,3059,
,9,3059,1.884458303451538
2.4921066761016846,10,3365,
,10,3365,1.9441848993301392
2.484372854232788,11,3671,
,11,3671,1.8871402740478516
2.4996418952941895,12,3977,
,12,3977,1.8989530801773071
2.4784045219421387,13,4283,
,13,4283,1.8813178539276123
2.439056873321533,14,4589,
,14,4589,1.8421192169189453
2.4581053256988525,15,4895,
,15,4895,1.8687443733215332
2.4708189964294434,16,5201,
,16,5201,1.929814338684082
2.5193989276885986,17,5507,
,17,5507,1.9741708040237427
2.4994823932647705,18,5813,
,18,5813,1.9348032474517822
2.5140364170074463,19,6119,
,19,6119,1.8099420070648193
2.4844300746917725,20,6425,
,20,6425,1.8793294429779053
2.480654001235962,21,6731,
,21,6731,1.847540020942688
2.467308521270752,22,7037,
,22,7037,1.8874341249465942
2.479139804840088,23,7343,
,23,7343,1.9040778875350952
2.4735004901885986,24,7649,
,24,7649,1.9064000844955444
2.485291004180908,25,7955,
,25,7955,1.8654873371124268
2.4762051105499268,26,8261,
,26,8261,1.8442175388336182
2.4902288913726807,27,8567,
,27,8567,1.9025061130523682
2.5067543983459473,28,8873,
,28,8873,1.9260830879211426
2.4731712341308594,29,9179,
,29,9179,1.8418245315551758
2.477457284927368,30,9485,
,30,9485,1.9299980401992798
2.477027416229248,31,9791,
,31,9791,1.86253023147583
2.514857053756714,32,10097,
,32,10097,1.9159542322158813
2.4781150817871094,33,10403,
,33,10403,1.8742854595184326
2.461913585662842,34,10709,
,34,10709,1.8711423873901367
2.491399049758911,35,11015,
,35,11015,1.8591876029968262
2.4663262367248535,36,11321,
,36,11321,1.8865537643432617
2.4998157024383545,37,11627,
,37,11627,1.882033109664917
2.4961564540863037,38,11933,
,38,11933,1.8258569240570068
2.5012781620025635,39,12239,
,39,12239,1.851239800453186
2.482124090194702,40,12545,
,40,12545,1.8975549936294556
2.4804909229278564,41,12851,
,41,12851,1.8555418252944946
2.4557461738586426,42,13157,
,42,13157,1.9258441925048828
2.4677717685699463,43,13463,
,43,13463,1.8947821855545044
2.47462797164917,44,13769,
,44,13769,1.867566704750061
2.514612913131714,45,14075,
,45,14075,1.8672529458999634
2.493492603302002,46,14381,
,46,14381,1.925552487373352
2.4838435649871826,47,14687,
,47,14687,1.8592257499694824
2.4562039375305176,48,14993,
,48,14993,1.8842893838882446
2.5028059482574463,49,15299,
,49,15299,1.938704252243042
2.5067107677459717,50,15605,
,50,15605,1.8842283487319946
2.469233751296997,51,15911,
,51,15911,1.8732300996780396
2.489522933959961,52,16217,
,52,16217,1.9375450611114502
2.5046675205230713,53,16523,
,53,16523,1.8742988109588623
2.4783167839050293,54,16829,
,54,16829,1.842970609664917
2.5009117126464844,55,17135,
,55,17135,1.9487576484680176
2.4808640480041504,56,17441,
,56,17441,1.8758457899093628
2.497731924057007,57,17747,
,57,17747,1.9088661670684814
2.471599817276001,58,18053,
,58,18053,1.965141773223877
2.479227066040039,59,18359,
,59,18359,1.8726236820220947
2.4623401165008545,60,18665,
,60,18665,1.9211715459823608
2.4948348999023438,61,18971,
,61,18971,1.903611421585083
2.4849636554718018,62,19277,
,62,19277,1.8602814674377441
2.4759411811828613,63,19583,
,63,19583,1.8465640544891357
2.4934616088867188,64,19889,
,64,19889,1.8743374347686768
2.492530584335327,65,20195,
,65,20195,1.8980755805969238
2.471369504928589,66,20501,
,66,20501,1.8534517288208008
2.4606881141662598,67,20807,
,67,20807,1.8493213653564453
2.467951536178589,68,21113,
,68,21113,1.9174351692199707
2.4958221912384033,69,21419,
,69,21419,1.8838894367218018
2.4739928245544434,70,21725,
,70,21725,1.8288203477859497
2.4759297370910645,71,22031,
,71,22031,1.8156589269638062
2.4736132621765137,72,22337,
,72,22337,1.843970775604248
2.4791717529296875,73,22643,
,73,22643,1.8738901615142822
2.4678661823272705,74,22949,
,74,22949,1.8271114826202393
2.493457555770874,75,23255,
,75,23255,1.8822846412658691
2.4705288410186768,76,23561,
,76,23561,1.9210513830184937
2.473896026611328,77,23867,
,77,23867,1.8806535005569458
2.505524158477783,78,24173,
,78,24173,1.903429627418518
2.4730453491210938,79,24479,
,79,24479,1.883867859840393
2.47766375541687,80,24785,
,80,24785,1.9256155490875244
2.477269411087036,81,25091,
,81,25091,1.8831324577331543
2.492499828338623,82,25397,
,82,25397,1.92085599899292
2.4927818775177,83,25703,
,83,25703,1.9047292470932007
2.4806530475616455,84,26009,
,84,26009,1.9176865816116333
2.5038058757781982,85,26315,
,85,26315,1.819245457649231
2.491027593612671,86,26621,
,86,26621,1.861316442489624
2.4648079872131348,87,26927,
,87,26927,1.9045552015304565
2.4715282917022705,88,27233,
,88,27233,1.910779595375061
2.479257345199585,89,27539,
,89,27539,1.8508554697036743
2.4798905849456787,90,27845,
,90,27845,1.9379377365112305
2.446270227432251,91,28151,
,91,28151,1.8216584920883179
2.5032451152801514,92,28457,
,92,28457,1.9003020524978638
2.448535442352295,93,28763,
,93,28763,1.8992966413497925
2.4829821586608887,94,29069,
,94,29069,1.8362046480178833
2.4600448608398438,95,29375,
,95,29375,1.9152823686599731
2.4594502449035645,96,29681,
,96,29681,1.865907907485962
2.471423625946045,97,29987,
,97,29987,1.842154622077942
2.470651865005493,98,30293,
,98,30293,1.8439279794692993
2.4574406147003174,99,30599,
,99,30599,1.8845844268798828
2.4860565662384033,100,30905,
,100,30905,1.8752360343933105
2.4752790927886963,101,31211,
,101,31211,1.8659337759017944
2.4751813411712646,102,31517,
,102,31517,1.827820897102356
2.4694361686706543,103,31823,
,103,31823,1.8834547996520996
2.465569019317627,104,32129,
,104,32129,1.8791172504425049
