val_loss,epoch,step,train_loss
2.738157033920288,0,305,
,0,305,2.5733814239501953
2.5393214225769043,1,611,
,1,611,1.9383769035339355
2.5406510829925537,2,917,
,2,917,1.9083513021469116
2.515449285507202,3,1223,
,3,1223,1.9079070091247559
2.508521795272827,4,1529,
,4,1529,1.9205132722854614
2.473123788833618,5,1835,
,5,1835,1.8860596418380737
2.4913198947906494,6,2141,
,6,2141,1.8166569471359253
2.5054924488067627,7,2447,
,7,2447,1.8558450937271118
2.4895973205566406,8,2753,
,8,2753,1.8682845830917358
